,id,website_url,restaurant_provided_menu_link,telephone_number,year_established,email_address,offers_delivery,offers_pickup,offers_group_order,offers_catering,has_bar,has_counter,has_gifting,has_takeout,order_online_link,facebook_link
0,1,https://locations.outback.com/california/pittsburg/4350-century-blvd,https://www.outback.com/menu,(925) 778-3845,,,True,True,True,False,False,False,False,True,,
1,2,http://www.naomisushi.com,,(650) 321-6902,,,True,True,True,False,,,,,,
2,3,https://www.famousdaves.com/hayward-ca,https://www.famousdaves.com/Menu,(510) 782-2030,,,True,True,True,False,False,False,False,True,https://togo.famousdaves.com/menu/famous-daves-hayward?olonwp=0kNpREIXbEy9skvK9WX_Og,
3,4,https://www.burmabistro.net,https://www.burmabistro.net/menus,(408) 372-5422,2015,,True,True,True,False,False,False,False,False,,
4,5,http://www.enotecalastoria.com,https://www.enotecalastoria.com/takeoutdelivery-menu,(408) 625-7272,2010,info@enotecalastoria.com,True,True,True,False,False,False,False,True,,
5,6,http://408-253-2232.atmenu.at,http://408-253-2232.atmenu.at/Menu,(408) 253-2232,,,True,True,True,False,,,,,,
6,7,https://www.grubatmos.com,https://www.grubatmos.com/menu.html,(408) 871-1300,2013,,True,True,True,False,False,False,False,True,,
7,8,https://alfredoitlaliantogo.com,http://alfredositalianpetaluma.com/menus/dinner,(707) 782-0500,,,True,True,True,False,False,False,False,False,,
8,9,http://dacafe-sf.com,,(415) 668-7883,,turnervicentetgzpu74@gmail.com,True,True,True,False,,,,,,
9,10,https://maivietnamesecotati.com,https://maivietnamesecotati.com/products/items/MTEwNA/NDQx,(707) 665-9628,,,True,True,True,False,,,,,,
10,11,https://bluesakanablackhawk.com,https://thegrilleatblackhawk.com/menu/,(925) 648-7838,2016,,True,True,True,False,False,False,False,False,,
11,12,https://www.dashijapaneserestaurant.com/public/site/index.php,https://www.dashijapaneserestaurant.com/public/site/menu.php,(650) 328-6868,,,True,True,True,False,False,False,False,False,,
12,13,http://www.siafusioneatery.com,,(510) 794-8852,,,True,True,True,False,,,,,,
13,14,http://www.grandpalaceseafoodrestaurant.com,,(650) 636-4538,,,True,True,True,False,False,False,False,False,,
14,15,https://www.pfchangs.com/locations/us/ca/palo-alto/900-stanford-shopping-center/9911-palo-alto.html?utm_source=YextMain&utm_medium=Directory,https://order.pfchangs.com/store/9911,(650) 330-1782,,,True,True,True,False,False,False,False,True,https://order.pfchangs.com,
15,16,http://www.batikaindia.com,http://www.batikaindia.com/menus,(415) 895-5757,2010,contact@batikaindia.com,True,True,True,False,False,False,False,True,,
16,17,http://www.macarthurparkpaloalto.com/,http://w.singlepage.com/macarthur-park-restaurant/menu,+1 650-321-9990,,info@macarthurparkpaloalto.com,True,False,True,False,True,False,False,True,,
17,18,http://www.hobees.com,http://www.hobees.com/menu,(650) 856-6124,1976,,True,True,True,False,False,False,False,False,,
18,19,https://cafferiace.com,https://cafferiace.com/menu/,(650) 328-0407,1997,giuseppe@cafferiace.com,True,True,True,False,False,False,False,True,,
19,20,http://www.chefzhaokitchen.com,http://chefzhaokitchen.com/,(650) 485-2221,2016,,True,True,True,False,False,False,False,False,,
20,21,http://www.greenelephantgourmet.com,,(650) 494-7391,,,True,True,True,False,False,False,False,False,,
21,22,https://shop.nordstrom.com/store-details/nordstrom-stanford-shopping-center?utm_source=yelp&utm_medium=organic&utm_campaign=food&utm_content=22422&utm_channel=low_nd_seo_local&sp_source=yelp&sp_campaign=food,https://n.nordstrommedia.com/id/33b14400-12e8-4619-bbcf-e64a2e28ff0d.pdf,(650) 688-2614,1901,,True,True,True,False,False,False,True,False,,
22,23,http://www.indorestaurant.com/,http://www.indorestaurant.com/lunch-menu.pdf,(650) 494-7168,,justin@indorestaurant.com,True,True,True,False,False,False,False,True,,
23,24,http://www.indochinethai.com/,,(650) 853-1238,,indochine2710@gmail.com,True,True,True,False,False,False,False,False,,
24,25,https://www.tacolicious.com/location/palo-alto/,https://www.tacolicious.com/menu/eat/,+1 415-649-6077,2009,,True,True,True,False,False,True,True,True,https://order.online/store/tacolicious-palo-alto-753/?delivery=true&hideModal=true,
25,26,https://www.flemingssteakhouse.com/locations/ca/palo-alto?&utm_source=yelp&utm_medium=business&utm_campaign=palo_alto,https://www.flemingssteakhouse.com/menus/carry-out,(650) 329-8457,,paloalto@FlemingsSteakhouse.com,True,True,True,False,False,False,True,True,,
26,27,http://www.tamarinerestaurant.com/,https://tamarinerestaurant.com/wp-content/uploads/tamarine-menu.pdf,(650) 325-8500,2002,info@tamarinerestaurant.com,True,True,True,False,True,False,False,True,www.tamarinerestaurant.com,https://www.facebook.com/tamarinerestaurant/photos
27,28,https://www.sanagus.com,https://www.sanagus.com/menu,(650) 847-1334,2020,social@sanagus.com,True,True,True,False,False,False,True,True,,
28,29,https://www.celiasrestaurants.com/location/palo-alto/,http://www.celiasrestaurants.com/pdf/CeliasPaloAlto.pdf,(650) 843-0643,1996,,True,True,True,False,False,False,False,True,,
29,30,http://dinahshotel.com,http://www.dinahshotel.com/dining.html,(650) 798-1314,2012,info@dinahshotel.com,True,True,True,False,False,False,False,True,https://www.toasttab.com/dinahs-poolside-4261-el-camino-real?utm_source=opentablelist&utm_medium=referral&utm_campaign=opentablelistcampaign,
30,31,http://www.centralparkbistro.com/,http://www.centralparkbistro.com/,(650) 558-8401,2002,giocpb@gmail.com,True,True,True,False,True,False,False,True,,
31,32,http://www.risewoodfire.com,https://risewoodfire.com/menu,(650) 389-6918,,info@risewoodfire.com,True,False,True,False,False,False,False,True,www.risewoodfire.com,
32,33,https://www.buffalowildwings.com/en/food/?utm_source=Yelp&utm_medium=organic&utm_campaign=yelp,https://www.buffalowildwings.com/en/food/,(209) 833-3819,1982,,True,True,True,False,,,,,,
33,34,http://Shabuway.com,https://static1.squarespace.com/static/5ca7fbff049079736c45228e/t/5f0e0e0081d92f4c449113de/1594756608992/SHABUWAY+SAN+MATEO+DISPOSABLE+MENU+-+DINNER.pdf,(650) 548-2483,,,True,True,True,False,,,,,,
34,35,http://www.novysf.com,https://www.novysf.com/menu/,(415) 829-8383,2015,holla@novysf.com,True,True,True,False,True,False,False,True,https://www.toasttab.com/novy-restaurant-4000-24th-street/v3,
35,36,https://www.facebook.com/pages/Pho-Nguyen-Restaurant/111722522199078,,(408) 945-5909,,,True,True,True,False,,,,,,
36,37,http://clayovencuisineofindia.com,https://www.clayovencuisineofindia.com/menu.aspx,(650) 342-9194,1988,,True,True,True,False,False,False,False,False,,
37,38,http://www.vespucciristorante.com,https://static1.squarespace.com/static/558dc9a1e4b067da5f015342/t/5e1f54d59b2f5f1c7d4a9a49/1579111638726/the+whole+menu+GENNAIO+2020.pdf,(650) 685-6151,2013,,True,True,True,False,False,False,False,True,,
38,39,http://www.tomatina.com/locations/peninsula/san-mateo,http://www.tomatina.com/main_menu.php,(650) 918-5030,,info@tomatina.com,True,True,True,False,False,False,False,True,,
39,40,http://www.northbeachpizza.com,http://eat24hrs.com/restaurants/order2/menu.php?id=1193,(650) 344-5000,1984,nbpsanmateo@gmail.com,True,True,True,False,False,False,False,True,,
40,41,https://thonglorthaibistro.com,https://thonglorthaibistro.com/thonglorthaibistro/order,(650) 342-6451,2018,,True,True,True,False,False,False,False,False,,https://www.facebook.com/thonglorthaibistro/
41,42,http://www.benihana.com/locations/cupertino-ca-cu,https://www.benihana.com/menu/teppanyakidining/pdf/?locid=cupertino-ca-cu,(408) 253-1221,,,True,True,False,True,True,False,False,False,https://order.benihana.com/menu/benihana-cupertino,
42,43,http://www.pausasanmateo.com,http://www.pausasanmateo.com/,(650) 375-0818,2017,info@pausasanmateo.com,True,True,True,False,True,False,False,True,,
44,45,http://www.tannourinecuisine.com,https://tannourinecuisine.com/san-mateo-san-mateo-tannourine-food-menu,(650) 638-1960,2008,info@tannourinecuisine.com,True,True,True,False,False,False,False,True,,
45,46,http://Thebarrelbistrowinebar.com,,(650) 445-7250,,info@thebarrelbistrowinebar.com,True,True,True,False,True,False,False,True,,
46,47,https://theposhbagel.com,https://www.thepostlosaltos.com/menu,(650) 941-7516,,,True,True,True,False,False,False,False,True,,https://www.facebook.com/ThePostLosAltos/
47,48,http://www.lalanternasanmateo.com/,http://www.lalanternasanmateo.com/#!dinner/c1alk,(650) 341-8877,,,True,True,True,False,False,False,False,True,,
48,49,http://www.spicyempiretogo.com,,(650) 522-9098,2014,,True,True,True,False,,,,,,
49,50,https://bevri.com,https://menu.bevri.com/,(650) 600-0433,2018,eat@bevri.com,True,True,True,False,False,False,False,True,www.bevri.com/menu,
50,51,http://www.ettanrestaurant.com,https://www.ettanrestaurant.com/documents/delivery.pdf,(650) 752-6281,,,True,True,True,False,False,False,False,True,https://www.toasttab.com/www.ettanrestaurant.com?utm_source=opentablelist&utm_medium=referral&utm_campaign=opentablelistcampaign,https://www.facebook.com/ettanrestaurant/
51,52,http://tavernarestaurant.net,https://www.tavernarestaurant.net/menu-1,(650) 304-3840,,,True,True,True,False,False,False,False,False,,https://www.facebook.com/tavernarestaurantpaloalto
52,53,http://www.joya.com,https://www.joya.com/menu/,(650) 853-9800,,,True,True,True,False,False,False,False,False,,
53,54,http://www.terunpizza.com,https://www.terunpizza.com/home/#menu,(650) 600-8310,2012,info@terunpizza.com,True,True,True,False,False,False,False,True,,
54,55,http://www.coconutspaloalto.com/,http://coconutsinpaloalto.com/wp-content/uploads/menus/takeoutmenu.pdf,(650) 329-9533,2008,Cater@coconutspaloalto.com,True,True,True,False,False,False,False,True,,
55,56,http://www.noburestaurants.com,https://www.noburestaurants.com/paloalto/menus/,(650) 798-8396,,paloalto@noburestaurants.com,True,True,True,False,False,True,False,False,,
