id,website_url,restaurant_provided_menu_link,telephone_number,year_established,email_address,offers_delivery,offers_pickup,offers_group_order,offers_catering,has_bar,has_counter,has_gifting,has_takeout,order_online_link,facebook_link,instagram_link,twitter_link,play_store_link,app_store_link
6146,https://www.thefusionfactory.com,https://www.thefusionfactory.com/menus,(510) 756-6420,2016,605a7baede844d278b89dc95ae0a9123@sentry-next.wixpress.com,True,True,True,False,True,True,False,False,https://www.thefusionfactory.com/order-online,,,,,
6147,http://www.thaibodia.com,,(408) 248-8868,[9411],thaibodia88@gmail.com,False,False,False,True,False,False,False,False,,,,,,
6150,http://www.rebelkl.com,,(925) 373-0521,2018,Dina@RebelKL.com,True,True,True,False,False,False,False,True,,,,,,
6149,http://www.sjcake.com,https://copenhagencrownbakerydeli.menu11.com/,(408) 243-5443,"[2000, 2000, 1500, 2000, 5443, 1600]",copenhagencrownbakery@gmail.com,True,True,True,False,False,False,False,False,,,,,,
6151,https://locations.noahs.com/us/ca/greenbrae/170-bon-air-ctr,https://noahscatering.com/index.cfm?fuseaction=order&action=menu-categories&channel-id=2&store_code=2103,(415) 925-9971,"[1054, 1054, 9971, 2075, 2910, 1552, 2757, 9682, 2802]",,True,True,True,False,False,False,False,False,,,,,,,https://www.google.com/maps/dir/?api=1&destination_place_id=ChIJ9a3hyi9-j4ARAHTytKc_DVY&destination=direct
6152,http://fiddlersgreenmillbrae.com/,http://www.fiddlersgreenmillbrae.com/menu,(650) 697-3419,1991,,False,False,False,True,True,False,False,False,,,,,,
6155,http://www.moshotdogs.com,https://moshotdogs.hrpos.heartland.us/,(707) 258-8905,2015,info@moshotdogs.com,True,True,True,False,False,False,False,False,https://order.online/business/mos-hot-dogs-292912,,,,,
6154,http://www.drinkeatgather.com/,https://www.lastwordbar.com/patio-menu,(925) 493-7293,"[1005, 400, 6008, 1920, 3727, 2470, 8565, 1229, 5457, 2687, 1901, 5950]",info@lastwordbar.com,True,True,True,False,False,False,False,True,,,,,,
6157,http://napa.andaz.hyatt.com/en/hotel/dining/AndazNapaFarmersTable.html,,(707) 687-1234,,info@bridgeportpasty.com,False,False,,,False,False,False,True,,,,,,
6153,http://www.cetrella.com/cetrella-los-altos/,http://cetrella.com/cetrella-los-altos/dining-room/dinner/,(650) 948-0400,2015,privatediningla@cetrella.com,False,False,False,False,True,False,False,True,https://bbot.menu/cetrellapickup/,,,,,
6159,http://www.taquerialosgallos.com,http://www.taquerialosgallos.com/tlg-menu.html,(925) 687-5988,[],,True,True,True,False,False,False,False,False,,,,,,
6160,http://www.tortillareal.com,https://menu.indigoccr.com/tortillareal,(707) 658-1415,2021,info@tortillareal.com,True,True,True,False,False,False,False,False,,,,,,
6158,http://www.eatatazalo.com,https://docs.wixstatic.com/ugd/dcbd94_5bbe9e09b4a74128a62bca9c03f55253.pdf,(707) 303-7702,2018,eddy@eatatazalo.com,True,True,True,False,True,False,False,False,,,,,,
6162,https://www.cafegyrosmenu.com/?utm_source=gbp,https://slicelife.com/restaurants/ca/newark/94560/cafe-gyros/menu?utm_campaign=direct_websites&ajs_aid=&client_id=,(510) 668-0110,2005,,True,True,True,False,False,False,False,False,,,,,,
6163,https://www.sonsoflibertyalehouse.com,https://www.sonsoflibertyalehouse.com/menu,(510) 352-7652,2016,,False,False,,,False,False,False,False,,,,,,
6164,https://citypizzadelivers.com,https://citypizzadelivers.com/product-category/pizza/,(408) 370-2489,1988,Citypizza12@aol.com,True,True,True,False,True,True,False,False,,,,,,
6165,http://www.pietros2.com,http://pietros2.com/menu.html,(707) 448-4588,1962,,True,True,True,False,True,False,False,True,,,,,,
6166,http://www.kitchensunnyside.com,https://kitchensunnysideca.smiledining.com//?2023020201,(415) 326-5159,2016,info@kitchensunnyside.com,True,True,True,False,False,False,False,False,,,,,,,https://goo.gl/maps/ZUaatNEmvfu5H3GAA
6167,https://www.hawaiianbarbecue.com/locations/union-city/,https://hawaiianbarbecue.cdn.prismic.io/hawaiianbarbecue/c3bd1335-3934-4c41-aff7-d37db91c3adb_UnionCity_2019.pdf,(510) 324-8838,"[0, 1668]",,True,True,True,False,False,False,False,False,,,,,,,http://www.google.com/maps/dir/1668%20Decoto%20Rd.%20CA%20Union%20City%2094587
6168,http://www.bjsrestaurants.com/locations/ca/dublin,https://www.bjsrestaurants.com/menu,(925) 452-1155,[],guestrelations@bjsrestaurants.com,True,True,True,False,False,False,False,False,,,,,,
6169,http://www.chaiyasf.com,https://www.foodbooking.com/ordering/restaurant/menu?restaurant_uid=bb1cd7d1-6a58-4b3e-83a1-2be79ddabd40,(415) 999-0345,2013,605a7baede844d278b89dc95ae0a9123@sentry-next.wixpress.com,True,True,True,False,True,True,False,True,,,,,,
6170,http://www.11thtiger.com,http://11thtiger.com/#menu,(925) 791-5241,2017,,True,False,True,False,False,False,False,False,,,,,,
6171,http://www.mcgeesbarandgrill.com,https://www.mcgeesbarandgrill.com/menu,(510) 522-3470,"[1005, 460, 2000, 6008, 1920, 3727, 1645, 8052, 1229, 5457, 2687, 1901, 5950]",mcgeesparkst@gmail.com,False,False,True,False,True,True,False,False,,,,,,
6172,http://www.nopasf.com,http://nopasf.com/menus/dinner.pdf,(415) 864-8643,2006,info@nopasf.com,False,False,False,False,False,False,False,False,,,,,,,https://goo.gl/maps/vwfoFeFJufdPyp8w6
6173,https://www.ilovesushivalley.com/,http://www.sushivalleyalameda.com/menu.aspx,(510) 523-9888,,sushivalley367@yahoo.com,False,False,,,False,False,False,True,,,,,,
6175,http://www.the-bistro.com,,(510) 886-8525,"[2011, 1003, 193, 1994, 1001, 1994, 1001, 193]",filler@godaddy.com,True,True,True,False,True,False,False,False,,,,,,
